alpha,mean_accuracy,mean_cost
0.0,0.5183448629259544,65.75860876248967
0.01,0.5183448629259544,65.67481168331982
0.02,0.5183448629259544,65.63291314373488
0.03,0.5183448629259544,65.45309761721684
0.04,0.5196259287727389,65.32740199846205
0.05,0.5180886497565975,65.15980784012231
0.06,0.5173200102485267,64.78272098385794
0.07,0.5180886497565975,64.65702536510315
0.08,0.516551370740456,64.44753266717849
0.09,0.5138611324622085,63.98664873174425
0.1,0.5107865744299257,63.23247501921549
0.11,0.5011785805790417,62.017417371252506
0.12,0.49528567768383297,61.13143735587979
0.13,0.4868306430950551,59.87448116833187
0.14,0.4777350755828849,57.8633512682552
0.15,0.4700486805021778,56.043720215219224
0.16,0.45698180886497564,54.40967717140689
0.17,0.45083269280040994,52.76952344350537
0.18,0.4413528055342045,51.26117601844779
0.19,0.43635664873174485,49.82873943120719
0.2,0.4335383038688188,48.48187548040008
0.21,0.42995131949782217,47.18302075326705
0.22,0.4268767614655393,45.784596464258556
0.23,0.42277735075582884,43.9750730207535
0.24,0.42021521906225984,42.27902382782493
0.25,0.41624391493722773,40.37170637970804
0.26,0.41176018447348195,37.8760338201384
0.27,0.4070202408403792,36.13808608762491
0.28,0.40983858570330517,34.350353574173674
0.29,0.40740456059441454,32.06417371252873
0.3,0.4058672815782731,29.20652574942336
0.31,0.4098898283371765,26.539046887009814
0.32,0.4037407122726108,22.471698693312756
0.33,0.393620292083013,17.78863950807071
0.34,0.39003330771201633,13.6751037663336
0.35,0.38337176530873684,10.853274404304388
0.36,0.38349987189341533,10.773174481168338
0.37,0.38145016653856006,10.717855495772488
0.38,0.38337176530873684,10.63875480399693
0.39,0.38503715090955676,10.57832436587241
0.4,0.3855495772482706,10.504996156802463
0.41,0.3843966179861645,10.431337432744042
0.42,0.38490904432487827,10.394673328209068
0.43,0.385677683832949,10.32134511913912
0.44,0.38362797847809377,10.184803996925433
0.45,0.3829874455547015,10.050368946963863
0.46,0.38349987189341533,9.873159108378154
0.47,0.3854214706635921,9.681714066102973
0.48,0.3863182167563413,9.357847809377374
0.49,0.38683064309505505,8.948431975403496
0.5,0.3874711760184473,8.099046887009948
0.51,0.38516525749423525,7.656863950807039
0.52,0.3809121188829106,7.341006917755548
0.53,0.3800153727901614,6.9438124519600315
0.54,0.3819369715603382,6.691168332052288
0.55,0.38475531642326416,6.356979246733344
0.56,0.37899052011273376,6.010568793236043
0.5700000000000001,0.3787343069433769,5.700822444273711
0.58,0.3801434793748399,5.234304381245276
0.59,0.37617217524980784,4.865557263643435
0.6,0.37373815014091727,4.319600307455889
0.61,0.37040737893927744,3.4660030745581136
0.62,0.3700230591852421,3.461790930053886
0.63,0.3692544196771714,3.4554727132975445
0.64,0.3695106328465283,3.444942352036975
0.65,0.3689982065078145,3.4386241352806337
0.66,0.36938252626184986,3.4344119907764057
0.67,0.3701511657699206,3.42598770176795
0.68,0.3701511657699206,3.4196694850116085
0.6900000000000001,0.36938252626184986,3.4112451960031525
0.7000000000000001,0.36835767358442223,3.402820906994697
0.71,0.3692544196771714,3.390184473482014
0.72,0.3687419933384576,3.375441967717217
0.73,0.3687419933384576,3.3564873174481917
0.74,0.3682295669997438,3.3333205226749394
0.75,0.36784524724570844,3.310153727901686
0.76,0.36861388675377915,3.282867025365174
0.77,0.3682295669997438,3.2407455803228964
0.78,0.37117601844734815,3.20494235203696
0.79,0.3668203945682808,3.160714834742568
0.8,0.36694850115295924,3.095426594927037
0.81,0.36208045093517804,3.002759415834025
0.8200000000000001,0.36425826287471175,2.9269408147579243
0.8300000000000001,0.3652831155521394,2.8352728670254046
0.84,0.3625928772738919,2.772090699461988
0.85,0.3624647706892134,2.6642505764796596
0.86,0.36325903151421984,2.4714911606456744
0.87,0.3580066615424033,2.3083089930822527
0.88,0.3599282603125801,2.113443504996154
0.89,0.3562131693569049,1.9083397386625522
0.9,0.35980015372790164,1.7451114527286458
0.91,0.3523699718165514,1.6077863182167231
0.92,0.34160901870356136,1.4528285933896656
0.93,0.3326415577760697,1.234365872405809
0.94,0.3124007173968742,0.916933128362768
0.95,0.3077888803484499,0.84715603382011
0.96,0.308941839610556,0.8293082244427081
0.97,0.30740456059441457,0.8160261337432471
0.98,0.3056110684089162,0.8117217524980512
0.99,0.304714322316167,0.8099999999999731
