alpha,mean_accuracy,mean_cost
0.0,0.7202035324101304,58.60861587811337
0.01,0.7199033971411257,54.54520983694755
0.02,0.7186557587423804,51.62329911788843
0.03,0.7172922682066089,49.55074365143554
0.04,0.7147524328948776,47.302959101849666
0.05,0.7126849178340997,45.4506709436031
0.06,0.7112572630378213,43.31631542368865
0.07,0.7094927458738817,41.90636621224785
0.08,0.708770897943179,40.93833787757789
0.09,0.7077906106298791,39.83850200481623
0.1,0.7060795636830286,38.537949746061216
0.11,0.7042615763019998,36.45176476878214
0.12,0.7027644102235056,34.016574178030275
0.13,0.6993601397355007,31.451077786690448
0.14,0.6963925426870567,29.784377439189328
0.15,0.6947527893629915,28.599124832934013
0.16,0.6926407157879727,27.642847901631985
0.17,0.6908494635154885,26.660043303930593
0.18,0.6886037143977471,25.792163592623226
0.19,0.6851816205040459,24.81794439989378
0.2,0.6825615798666809,23.84463031275103
0.21,0.6798880690122269,22.848097834803713
0.22,0.6770006772894165,21.986900294039017
0.23,0.6743271664349624,21.20475862068947
0.24,0.6710120129754393,20.429722534081478
0.25,0.6675097137561045,19.523574979951412
0.26,0.6640074145367697,18.80869125902108
0.27,0.6583128364167825,17.921361668002614
0.28,0.6537678679642106,17.214965517240753
0.29,0.6503190389619649,16.470399893076056
0.3,0.6463978897087655,15.754936647954475
0.31,0.641229102056821,14.766636728146898
0.32,0.6331016290592806,13.385990376903804
0.33,0.6223006452072862,11.442516974070282
0.34,0.6055644672584037,8.95034750066777
0.35,0.5897640181085801,6.631005613472717
0.36,0.5872241827968488,6.472725474472368
0.37,0.5872063593911525,6.348560812617232
0.38,0.5857626635297473,6.226573108794738
0.39,0.5861369550493709,6.119084202085311
0.4,0.5840516165828967,6.0176872493988425
0.41,0.5826613909385806,5.930862336273994
0.42,0.5819930132249671,5.829632183908311
0.43,0.5810038142088191,5.729309275595005
0.44,0.5796670587815921,5.6235188452288085
0.45,0.5787580650910776,5.522565624164934
0.46,0.5768331372758707,5.37941887195967
0.47,0.5754963818486437,5.2452996524996784
0.48,0.5730100167540014,5.088222400428111
0.49,0.5714326453498735,4.927186313820316
0.5,0.567850140804905,4.645915530607378
0.51,0.564187430934303,4.436189788827137
0.52,0.5614604498627598,4.164078053996848
0.53,0.5577710048836132,3.8881411387334692
0.54,0.5562203685880298,3.7731146752210374
0.55,0.5552044344633373,3.689916065223713
0.56,0.5533329768652194,3.605036086608374
0.5700000000000001,0.5516486650269133,3.514257150495035
0.58,0.5499910882971518,3.405395883454147
0.59,0.5483869817844794,3.2960657578192842
0.6,0.545793676255659,3.1572515370226957
0.61,0.5400545396214309,2.9378406843095046
0.62,0.5397871885359855,2.9268436246997607
0.63,0.5398763055644672,2.916013365410787
0.64,0.5393950736106655,2.9026164127243272
0.65,0.5391277225252201,2.8915199144618233
0.66,0.5388603714397747,2.877983426891645
0.67,0.5388069012226856,2.8656498262500985
0.68,0.5386464905714183,2.848515370222283
0.6900000000000001,0.5384326097030621,2.8313916065227223
0.7000000000000001,0.538085053291983,2.813921411387719
0.71,0.5378177022065376,2.7930521251006177
0.72,0.5371225893843795,2.7707778668808776
0.73,0.5369869361421519,2.74674525527968
0.74,0.5354898501131725,2.7198144881051083
0.75,0.5352581582277354,2.691551456830024
0.76,0.5341353437060009,2.6621186848439096
0.77,0.5327451923933773,2.626090884790426
0.78,0.5324511219233992,2.5882742582199616
0.79,0.5310609706107755,2.540121357925899
0.8,0.5272647881801494,2.486665062817633
0.81,0.5221586554741664,2.4298652766641924
0.8200000000000001,0.5189327915307704,2.380701951350104
0.8300000000000001,0.5155999928710189,2.3284709970598003
0.84,0.5115721185549555,2.2790296712110694
0.85,0.506653121602595,2.221296444800991
0.86,0.5012707408793599,2.1573146217590344
0.87,0.49541606515888714,2.09017000801938
0.88,0.4871464470940491,2.0102320235232263
0.89,0.4756242314067262,1.904332531408855
0.9,0.459726603575184,1.7736156107994463
0.91,0.43981001265394143,1.6326901897890516
0.92,0.4177279937264966,1.4874418604653454
0.93,0.3921260403856779,1.3359925153704084
0.94,0.35201037266748647,1.1299443998932863
0.95,0.33730260578191285,1.0624351777600927
0.96,0.31704630520799915,1.0017262763967723
0.97,0.2863437065554486,0.913617214648455
0.98,0.262184080134032,0.8654161988771814
0.99,0.21572737318646848,0.8115867415128232
